fold,accuracy,precision,recall,f1,roc_auc
1,0.7985803016858918,0.6451612903225806,0.5351170568561873,0.5850091407678245,0.8478301261855138
2,0.782608695652174,0.6097560975609756,0.5016722408026756,0.5504587155963303,0.8252084242159857
3,0.8021295474711624,0.6583333333333333,0.5284280936454849,0.5862708719851577,0.8419005380253017
4,0.8163265306122449,0.6642857142857143,0.6220735785953178,0.6424870466321243,0.8628257638182024
5,0.8134991119005328,0.6960352422907489,0.5284280936454849,0.6007604562737643,0.8528751622700417
