model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.8026288374644011,0.013446520688622487,0.6547143355586705,0.03132343214723922,0.5431438127090301,0.04595468638747204,0.5929972462510402,0.033271941263825724,0.846128002903009,0.013988717190192507
Balanced Logistic Regression,0.7488478347551855,0.017028510011757172,0.5173602834518597,0.021048168111561245,0.8013377926421403,0.04241034778367187,0.6285819778903436,0.025992162111370825,0.8459519022873485,0.013812232211138312
Random Forest,0.8010316768610293,0.012466103746577386,0.6659125666604282,0.033805745232036194,0.503010033444816,0.030524693536065895,0.5727925761531185,0.02838499415169348,0.8366109854798559,0.011531965480411735
Gradient Boosting,0.8033396322464424,0.01202666295984681,0.6605710613372258,0.03170855122226361,0.5337792642140469,0.026185390141890797,0.5901901389935511,0.024906956071109692,0.8478066112302758,0.01355968393037982
