metric,mean,std
accuracy,0.8026288374644011,0.013446520688622487
precision,0.6547143355586705,0.03132343214723922
recall,0.5431438127090301,0.04595468638747204
f1,0.5929972462510402,0.033271941263825724
roc_auc,0.846128002903009,0.013988717190192507
